,Date,gain,total_gain
651,2023-01-05,11.200000000000045,1910.0999999999965
652,2023-01-06,-2.800000000000182,1907.2999999999963
655,2023-01-09,12.700000000000273,1919.9999999999966
656,2023-01-10,-4.400000000000091,1915.5999999999965
657,2023-01-11,6.099999999999909,1921.6999999999964
658,2023-01-12,1.099999999999909,1922.7999999999963
659,2023-01-13,8.699999999999818,1931.4999999999961
662,2023-01-16,-6.7999999999999545,1924.6999999999962
663,2023-01-17,31.90000000000009,1956.5999999999963
664,2023-01-18,-6.500000000000227,1950.099999999996
665,2023-01-19,3.7000000000000455,1953.799999999996
666,2023-01-20,0.0,1953.799999999996
669,2023-01-23,0.0,1953.799999999996
670,2023-01-24,0.0,1953.799999999996
671,2023-01-25,0.0,1953.799999999996
672,2023-01-26,0.0,1953.799999999996
673,2023-01-27,29.40000000000009,1983.1999999999962
676,2023-01-30,16.499999999999773,1999.699999999996
677,2023-01-31,-19.800000000000182,1979.8999999999958
678,2023-02-01,30.600000000000136,2010.499999999996
679,2023-02-02,-1.300000000000182,2009.1999999999957
680,2023-02-03,6.7999999999999545,2015.9999999999957
683,2023-02-06,-27.299999999999955,1988.6999999999957
684,2023-02-07,-23.299999999999955,1965.3999999999958
685,2023-02-08,4.699999999999818,1970.0999999999956
686,2023-02-09,1.400000000000091,1971.4999999999957
687,2023-02-10,12.800000000000182,1984.2999999999959
690,2023-02-13,-0.599999999999909,1983.699999999996
691,2023-02-14,5.200000000000273,1988.8999999999962
692,2023-02-15,6.099999999999909,1994.9999999999961
693,2023-02-16,-0.900000000000091,1994.099999999996
694,2023-02-17,-9.5,1984.599999999996
697,2023-02-20,38.899999999999864,2023.499999999996
698,2023-02-21,10.000000000000227,2033.4999999999961
699,2023-02-22,-32.299999999999955,2001.1999999999962
700,2023-02-23,-9.799999999999955,1991.3999999999962
701,2023-02-24,18.500000000000114,2009.8999999999965
704,2023-02-27,-13.799999999999955,1996.0999999999965
705,2023-02-28,16.899999999999977,2012.9999999999964
706,2023-03-01,23.90000000000009,2036.8999999999965
707,2023-03-02,-8.000000000000114,2028.8999999999965
708,2023-03-03,21.59999999999991,2050.4999999999964
711,2023-03-06,4.7999999999999545,2055.2999999999965
712,2023-03-07,18.300000000000068,2073.5999999999967
713,2023-03-08,10.100000000000136,2083.699999999997
714,2023-03-09,-15.0,2068.699999999997
715,2023-03-10,-0.7999999999999545,2067.899999999997
718,2023-03-13,-1.7999999999999545,2066.0999999999967
719,2023-03-14,3.1000000000001364,2069.199999999997
720,2023-03-15,8.899999999999864,2078.0999999999967
721,2023-03-16,9.0,2087.0999999999967
722,2023-03-17,6.599999999999909,2093.6999999999966
725,2023-03-20,4.099999999999909,2097.7999999999965
726,2023-03-21,-6.000000000000114,2091.7999999999965
727,2023-03-22,0.1999999999998181,2091.9999999999964
728,2023-03-23,4.399999999999864,2096.399999999996
729,2023-03-24,4.2000000000000455,2100.599999999996
732,2023-03-27,4.2000000000000455,2104.7999999999956
733,2023-03-28,4.2000000000000455,2108.9999999999955
734,2023-03-29,4.5,2113.4999999999955
735,2023-03-30,8.399999999999864,2121.899999999995
736,2023-03-31,1.5,2123.399999999995
739,2023-04-03,16.90000000000009,2140.299999999995
740,2023-04-04,-4.899999999999864,2135.399999999995
741,2023-04-05,3.7999999999999545,2139.1999999999953
742,2023-04-06,10.800000000000182,2149.9999999999955
743,2023-04-07,-2.8999999999998636,2147.099999999996
746,2023-04-10,-2.300000000000182,2144.7999999999956
747,2023-04-11,-8.200000000000045,2136.599999999996
748,2023-04-12,-1.0,2135.599999999996
749,2023-04-13,-5.0,2130.599999999996
750,2023-04-14,-6.899999999999864,2123.699999999996
753,2023-04-17,-7.600000000000136,2116.099999999996
754,2023-04-18,-2.099999999999909,2113.999999999996
755,2023-04-19,7.599999999999909,2121.599999999996
756,2023-04-20,-1.099999999999909,2120.499999999996
757,2023-04-21,6.8,2127.299999999996
760,2023-04-24,-5.5,2121.799999999996
761,2023-04-25,-10.200000000000045,2111.599999999996
762,2023-04-26,-14.899999999999864,2096.699999999996
763,2023-04-27,-2.400000000000091,2094.299999999996
764,2023-04-28,7.400000000000091,2101.699999999996
767,2023-05-01,0.0,2101.699999999996
768,2023-05-02,0.0,2101.699999999996
769,2023-05-03,0.0,2101.699999999996
770,2023-05-04,-4.0,2097.699999999996
771,2023-05-05,-1.599999999999909,2096.0999999999963
774,2023-05-08,-1.2999999999999545,2094.7999999999965
775,2023-05-09,0.40000000000009095,2095.1999999999966
776,2023-05-10,8.5,2103.6999999999966
777,2023-05-11,1.599999999999909,2105.2999999999965
778,2023-05-12,13.299999999999955,2118.5999999999967
781,2023-05-15,1.599999999999909,2120.1999999999966
